0400000US11,11,District of Columbia,517,Telecommunications,2015,178,2465,111406,308658
0400000US11,11,District of Columbia,51512,Television broadcasting,2015,44,2096,58325,245104
0400000US11,11,District of Columbia,56151,Travel agencies,2015,85,473,9239,30941
0400000US11,11,District of Columbia,22,Utilities,2015,49,2106,75031,279486
0400000US11,11,District of Columbia,42,Wholesale trade,2015,419,4455,95363,384261
0400000US11,11,District of Columbia,5171,Wired telecommunications carriers,2015,128,1680,79571,219928
0400000US12,12,Florida,721,Accommodation,2015,3754,180743,1361952,5276445
0400000US12,12,Florida,3364,Aerospace product and parts manufacturing,2015,151,10553,252362,907126
0400000US12,12,Florida,11,"Agriculture, forestry, fishing and hunting",2015,1018,9271,76657,291872
0400000US12,12,Florida,481,Air transportation,2015,540,33466,595753,2277969
0400000US12,12,Florida,336411,Aircraft manufacturing,2015,34,3993,127049,432019
0400000US12,12,Florida,451211,Book stores,2015,401,5560,17816,73337
0400000US12,12,Florida,51,Information,2015,8287,165788,3251222,12236411
0400000US12,12,Florida,71211,Museums,2015,216,4156,33093,128323
0400000US12,12,Florida,624,Social assistance,2015,8272,120361,669395,2819809
0400000US12,12,Florida,711211,Sports teams and clubs,2015,106,6384,258236,1266087
0400000US12,12,Florida,517,Telecommunications,2015,3346,64227,1226249,4486516
0400000US12,12,Florida,51512,Television broadcasting,2015,172,10446,235199,908187
0400000US12,12,Florida,56151,Travel agencies,2015,1709,10680,139466,487327
0400000US12,12,Florida,22,Utilities,2015,754,27063,798839,2587138
0400000US12,12,Florida,42,Wholesale trade,2015,31221,313865,4250103,17876715
0400000US12,12,Florida,5171,Wired telecommunications carriers,2015,1999,45026,845825,3083946
0400000US17,17,Illinois,721,Accommodation,2015,1758,55641,393122,1711450
0400000US17,17,Illinois,3364,Aerospace product and parts manufacturing,2015,18,4667,107514,404715
0400000US17,17,Illinois,11,"Agriculture, forestry, fishing and hunting",2015,334,1988,19575,87865
0400000US17,17,Illinois,481,Air transportation,2015,189,29451,558698,2194769
0400000US17,17,Illinois,336411,Aircraft manufacturing,2015,3,b,D,D
0400000US17,17,Illinois,451211,Book stores,2015,241,3025,10794,43884
0400000US17,17,Illinois,51,Information,2015,5439,123407,2675090,9929562
0400000US17,17,Illinois,71211,Museums,2015,142,3550,29739,126110
0400000US17,17,Illinois,624,Social assistance,2015,6161,131216,685394,2866339
0400000US17,17,Illinois,711211,Sports teams and clubs,2015,51,2113,149294,824214
0400000US17,17,Illinois,517,Telecommunications,2015,2183,38540,835168,3021421
0400000US17,17,Illinois,51512,Television broadcasting,2015,81,4113,88844,347100
0400000US17,17,Illinois,56151,Travel agencies,2015,845,5482,106377,414439
0400000US17,17,Illinois,22,Utilities,2015,491,28014,924801,3018961
0400000US17,17,Illinois,42,Wholesale trade,2015,18539,316297,6024331,23811512
0400000US17,17,Illinois,5171,Wired telecommunications carriers,2015,1400,27667,587885,2117634
0400000US18,18,Indiana,721,Accommodation,2015,1259,30156,174355,724332
0400000US18,18,Indiana,3364,Aerospace product and parts manufacturing,2015,24,5672,133727,429798
0400000US18,18,Indiana,11,"Agriculture, forestry, fishing and hunting",2015,264,1445,13410,63923
0400000US18,18,Indiana,481,Air transportation,2015,76,3114,41555,157848
0400000US18,18,Indiana,336411,Aircraft manufacturing,2015,2,a,D,D
0400000US18,18,Indiana,451211,Book stores,2015,155,2394,6841,27186
0400000US18,18,Indiana,51,Information,2015,2048,42870,634358,2574307
0400000US18,18,Indiana,71211,Museums,2015,109,1423,10787,43490
0400000US18,18,Indiana,624,Social assistance,2015,3215,55549,265362,1116813
0400000US18,18,Indiana,711211,Sports teams and clubs,2015,19,1952,86168,323978
0400000US18,18,Indiana,517,Telecommunications,2015,958,13416,224880,846449
0400000US18,18,Indiana,51512,Television broadcasting,2015,34,1998,27910,107032
0400000US18,18,Indiana,56151,Travel agencies,2015,156,1378,13117,52603
0400000US18,18,Indiana,22,Utilities,2015,545,15667,407580,1400624
0400000US18,18,Indiana,42,Wholesale trade,2015,7668,129252,2352880,8439554
0400000US18,18,Indiana,5171,Wired telecommunications carriers,2015,653,10080,170892,656134
0400000US21,21,Kentucky,721,Accommodation,2015,821,14269,64532,284370
